window_id	hetA	hetB	hetAB	fixed	multiallelic	missing	pi_A	pi_B	d_xy	f_st
chr1_1344000_1376000	0.01468	0.0151603125	0.0030325	0.0084840625	0.0	0.0	0.0177125	0.01819281	0.02492047	0.16252174
chr1_1350400_1382400	0.01473125	0.0150971875	0.0032721875	0.008780625	0.0	0.0	0.01800344	0.01836938	0.02533094	0.16417659
chr1_1356800_1388800	0.014314375	0.0154075	0.00302875	0.0091659375	0.0	0.0	0.01734313	0.01843625	0.02554125	0.17617763
chr1_1363200_1395200	0.0150153125	0.0153146875	0.003016875	0.009525625	0.0	0.0	0.01803219	0.01833156	0.02619906	0.1806448
chr1_1369600_1401600	0.0149925	0.0155309375	0.00310625	0.010000625	0.0	0.0	0.01809875	0.01863719	0.02681547	0.18696009
chr1_1376000_1408000	0.0148309375	0.015973125	0.0032490625	0.0104809375	0.0	0.0	0.01808	0.01922219	0.0275075	0.19186903
chr1_691200_723200	0.0150434375	0.016115	0.0033996875	0.01027125	0.0	0.0	0.01844312	0.01951469	0.02755031	0.18421555
chr1_697600_729600	0.0144378125	0.0162921875	0.0032865625	0.009603125	0.0	0.0	0.01772438	0.01957875	0.02661141	0.17585775
chr1_704000_736000	0.014543125	0.0159625	0.003216875	0.009445	0.0	0.0	0.01776	0.01917938	0.02630625	0.17501721
chr1_710400_742400	0.01459625	0.0164215625	0.0032196875	0.009274375	0.0	0.0	0.01781594	0.01964125	0.02639312	0.16986334
chr1_716800_748800	0.014570625	0.01615	0.003086875	0.0091353125	0.0	0.0	0.0176575	0.01923688	0.02603906	0.17065655
chr1_723200_755200	0.0138178125	0.0156246875	0.0027715625	0.00863125	0.0	0.0	0.01658937	0.01839625	0.02473828	0.1715672
chr1_1382400_1414400	0.0147215625	0.0164928125	0.00316625	0.0103275	0.0	0.0	0.01788781	0.01965906	0.02751781	0.18889911
chr1_1388800_1420800	0.01539875	0.0166853125	0.0035196875	0.010266875	0.0	0.0	0.01891844	0.020205	0.02806875	0.17860479
chr1_1395200_1427200	0.0143775	0.0169221875	0.0034625	0.009729375	0.0	0.0	0.01784	0.02038469	0.02711047	0.17303414
chr1_1401600_1433600	0.014203125	0.016909375	0.003341875	0.0099821875	0.0	0.0	0.017545	0.02025125	0.02720938	0.18025818
chr1_1408000_1440000	0.0145503125	0.016616875	0.0033021875	0.0100675	0.0	0.0	0.0178525	0.01991906	0.02730219	0.18222083
chr1_1414400_1446400	0.01486375	0.0162878125	0.00320875	0.0100034375	0.0	0.0	0.0180725	0.01949656	0.02718359	0.18271489
chr1_1420800_1452800	0.0146878125	0.015948125	0.0028384375	0.010386875	0.0	0.0	0.01752625	0.01878656	0.02712406	0.19804688
chr1_1427200_1459200	0.0151546875	0.01542	0.0028909375	0.010395	0.0	0.0	0.01804562	0.01831094	0.02712781	0.19753481
chr1_1433600_1465600	0.0152075	0.015315625	0.0029078125	0.010114375	0.0	0.0	0.01811531	0.01822344	0.02682984	0.19245814
chr1_1440000_1472000	0.0151328125	0.0148096875	0.0028225	0.0098265625	0.0	0.0	0.01795531	0.01763219	0.02620906	0.19124483
chr1_1446400_1478400	0.014770625	0.0146690625	0.0028359375	0.0096440625	0.0	0.0	0.01760656	0.017505	0.02578188	0.18981412
chr1_1452800_1484800	0.0144328125	0.014180625	0.0028396875	0.0089109375	0.0	0.0	0.0172725	0.01702031	0.0246375	0.17928183
chr1_384000_416000	0.016045625	0.0135834375	0.002829375	0.0101959375	0.0	0.0	0.018875	0.01641281	0.02642516	0.19926121
chr1_390400_422400	0.0157290625	0.01413875	0.0026190625	0.0105078125	0.0	0.0	0.01834812	0.01675781	0.02675125	0.20761648
chr1_396800_428800	0.0155284375	0.014461875	0.0026503125	0.01065	0.0	0.0	0.01817875	0.01711219	0.02697031	0.20900318
chr1_403200_435200	0.0148990625	0.0144425	0.002653125	0.010478125	0.0	0.0	0.01755219	0.01709562	0.02647547	0.20894282
chr1_409600_441600	0.0148209375	0.014695625	0.002678125	0.0104025	0.0	0.0	0.01749906	0.01737375	0.02649984	0.20628606
chr1_416000_448000	0.014728125	0.0150875	0.0026490625	0.0103390625	0.0	0.0	0.01737719	0.01773656	0.02657141	0.2042802
chr1_1459200_1491200	0.014956875	0.014341875	0.0028378125	0.009055625	0.0	0.0	0.01779469	0.01717969	0.02512391	0.17921903
chr1_1465600_1497600	0.0149528125	0.0139271875	0.00270875	0.009340625	0.0	0.0	0.01766156	0.01663594	0.025135	0.18887279
chr1_1472000_1504000	0.0147325	0.0142984375	0.002735625	0.0091984375	0.0	0.0	0.01746813	0.01703406	0.02508172	0.18497766
chr1_1478400_1510400	0.01488625	0.01445625	0.0026225	0.0099440625	0.0	0.0	0.01750875	0.01707875	0.02592656	0.19973966
chr1_1484800_1516800	0.01526875	0.0147990625	0.002914375	0.0100859375	0.0	0.0	0.01818312	0.01771344	0.02657703	0.19379427
chr1_1491200_1523200	0.014590625	0.015054375	0.0028446875	0.01023375	0.0	0.0	0.01743531	0.01789906	0.02647859	0.19959792
chr1_499200_531200	0.0150159375	0.0148053125	0.003129375	0.0090446875	0.0	0.0	0.01814531	0.01793469	0.02552	0.17171717
chr1_505600_537600	0.014675625	0.014571875	0.002955625	0.009108125	0.0	0.0	0.01763125	0.0175275	0.02520969	0.17832395
chr1_512000_544000	0.0143675	0.0147553125	0.0030428125	0.0091059375	0.0	0.0	0.01741031	0.01779812	0.02518875	0.17723789
chr1_518400_550400	0.0143459375	0.0151509375	0.00311125	0.009369375	0.0	0.0	0.01745719	0.01826219	0.02567344	0.17948974
chr1_524800_556800	0.0142271875	0.0149375	0.002970625	0.0096025	0.0	0.0	0.01719781	0.01790813	0.02567016	0.18779737
chr1_531200_563200	0.014041875	0.0148803125	0.00288875	0.0096346875	0.0	0.0	0.01693063	0.01776906	0.02554016	0.19096092
chr1_307200_339200	0.0152465625	0.01335875	0.0024209375	0.0118696875	0.0	0.0	0.0176675	0.01577969	0.02738281	0.24167046
chr1_313600_345600	0.015378125	0.0130634375	0.0023590625	0.01201125	0.0	0.0	0.01773719	0.0154225	0.02741156	0.24622344
chr1_320000_352000	0.01538375	0.0127484375	0.002425	0.0112784375	0.0	0.0	0.01780875	0.01517344	0.02655703	0.23382981
chr1_326400_358400	0.01553375	0.0128534375	0.002485625	0.0109678125	0.0	0.0	0.01801938	0.01533906	0.02640422	0.22572478
chr1_332800_364800	0.015950625	0.0124940625	0.0024	0.010814375	0.0	0.0	0.01835062	0.01489406	0.02623672	0.2243255
chr1_339200_371200	0.01569375	0.0125046875	0.0024084375	0.010536875	0.0	0.0	0.01810219	0.01491312	0.02584031	0.22038025
chr1_345600_377600	0.0155665625	0.0128340625	0.0025659375	0.0093884375	0.0	0.0	0.0181325	0.0154	0.02487172	0.19466535
chr1_352000_384000	0.01578	0.0129509375	0.0025025	0.0100865625	0.0	0.0	0.0182825	0.01545344	0.02570328	0.20754171
chr1_358400_390400	0.0159490625	0.0133534375	0.0026790625	0.0100046875	0.0	0.0	0.01862812	0.0160325	0.02599547	0.20000009
chr1_364800_396800	0.0155684375	0.01350875	0.0028709375	0.0097575	0.0	0.0	0.01843938	0.01637969	0.02573156	0.1929025
chr1_371200_403200	0.016258125	0.0137096875	0.002915625	0.009965625	0.0	0.0	0.01917375	0.01662531	0.02640734	0.19202011
chr1_377600_409600	0.0164146875	0.0138896875	0.0028553125	0.0105246875	0.0	0.0	0.01927	0.016745	0.02710453	0.20165419
chr1_422400_454400	0.01456125	0.0146975	0.0026271875	0.010093125	0.0	0.0	0.01718844	0.01732469	0.02603609	0.20279479
chr1_428800_460800	0.0143221875	0.014624375	0.00271875	0.009338125	0.0	0.0	0.01704094	0.01734313	0.02517078	0.18834313
chr1_435200_467200	0.014514375	0.014704375	0.0027815625	0.0094684375	0.0	0.0	0.01729594	0.01748594	0.02546859	0.188468
chr1_441600_473600	0.014990625	0.013755	0.00258375	0.0100578125	0.0	0.0	0.01757437	0.01633875	0.0257225	0.20539206
chr1_448000_480000	0.0154046875	0.01393	0.0027903125	0.0097603125	0.0	0.0	0.018195	0.01672031	0.02582281	0.19327784
chr1_454400_486400	0.015198125	0.0137990625	0.003001875	0.0093578125	0.0	0.0	0.0182	0.01680094	0.02535734	0.18332411
chr1_576000_608000	0.0153378125	0.01504625	0.00325625	0.00889875	0.0	0.0	0.01859406	0.0183025	0.02571891	0.16461609
chr1_582400_614400	0.0149428125	0.0154728125	0.00336	0.0089325	0.0	0.0	0.01830281	0.01883281	0.02582031	0.16338831
chr1_588800_620800	0.01467375	0.01552125	0.003455	0.008558125	0.0	0.0	0.01812875	0.01897625	0.02538312	0.15546884
chr1_595200_627200	0.014825625	0.01496625	0.0033046875	0.0089996875	0.0	0.0	0.01813031	0.01827094	0.02554797	0.16794471
chr1_601600_633600	0.014414375	0.0141621875	0.00289375	0.0094725	0.0	0.0	0.01730813	0.01705594	0.02520766	0.18932962
chr1_608000_640000	0.01427375	0.0147021875	0.0030128125	0.0094634375	0.0	0.0	0.01728656	0.017715	0.02545781	0.18522559
chr1_614400_646400	0.014466875	0.01464375	0.0029990625	0.0092371875	0.0	0.0	0.01746594	0.01764281	0.02529203	0.18059053
chr1_620800_652800	0.014590625	0.01441625	0.00287375	0.009319375	0.0	0.0	0.01746438	0.01729	0.02525969	0.18487516
chr1_627200_659200	0.01431875	0.01445875	0.0028740625	0.009483125	0.0	0.0	0.01719281	0.01733281	0.02530891	0.18900106
chr1_633600_665600	0.0144	0.01478375	0.0030184375	0.009815625	0.0	0.0	0.01741844	0.01780219	0.02591672	0.19083324
chr1_640000_672000	0.014445625	0.0145778125	0.0028540625	0.0101253125	0.0	0.0	0.01729969	0.01743187	0.02606406	0.20028349
chr1_646400_678400	0.015024375	0.0146359375	0.0029209375	0.0107928125	0.0	0.0	0.01794531	0.01755687	0.02708344	0.20815095
chr1_537600_569600	0.0142384375	0.0146221875	0.0029165625	0.0096346875	0.0	0.0	0.017155	0.01753875	0.02552328	0.19072488
chr1_544000_576000	0.0141828125	0.0149803125	0.0029021875	0.010071875	0.0	0.0	0.017085	0.0178825	0.02610453	0.19777748
chr1_550400_582400	0.0146715625	0.013965	0.0027465625	0.00985625	0.0	0.0	0.01741812	0.01671156	0.02554781	0.19907164
chr1_556800_588800	0.0149775	0.0144071875	0.0029046875	0.009816875	0.0	0.0	0.01788219	0.01731188	0.02596156	0.19202927
chr1_563200_595200	0.015223125	0.0151378125	0.0032746875	0.0095434375	0.0	0.0	0.01849781	0.0184125	0.02636125	0.17641074
chr1_569600_601600	0.015256875	0.0156834375	0.0033996875	0.00901625	0.0	0.0	0.01865656	0.01908312	0.02618625	0.16238449
chr1_652800_684800	0.0148865625	0.0143284375	0.0025934375	0.0115175	0.0	0.0	0.01748	0.01692187	0.02742172	0.22904924
chr1_659200_691200	0.014633125	0.0140096875	0.002478125	0.0108440625	0.0	0.0	0.01711125	0.01648781	0.02640453	0.22231707
chr1_665600_697600	0.014850625	0.0142409375	0.002619375	0.0109159375	0.0	0.0	0.01747	0.01686031	0.02677141	0.21863919
chr1_672000_704000	0.0148859375	0.0148090625	0.0028075	0.0106015625	0.0	0.0	0.01769344	0.01761656	0.02685281	0.20665609
chr1_678400_710400	0.0143675	0.0150584375	0.0028953125	0.0101440625	0.0	0.0	0.01726281	0.01795375	0.02630469	0.19803739
chr1_684800_716800	0.0145315625	0.015501875	0.0031921875	0.0095396875	0.0	0.0	0.01772375	0.01869406	0.0261525	0.17906545
chr1_921600_953600	0.0149746875	0.0154159375	0.00318	0.0094353125	0.0	0.0	0.01815469	0.01859594	0.02622062	0.17591973
chr1_928000_960000	0.01510625	0.015476875	0.0032234375	0.0089853125	0.0	0.0	0.01832969	0.01870031	0.02588859	0.16605842
chr1_934400_966400	0.014644375	0.01582625	0.0033203125	0.0087428125	0.0	0.0	0.01796469	0.01914656	0.02563828	0.16026316
chr1_940800_972800	0.0146184375	0.0153390625	0.0031378125	0.0090003125	0.0	0.0	0.01775625	0.01847688	0.02554797	0.17019316
chr1_947200_979200	0.0152778125	0.014679375	0.00303375	0.009519375	0.0	0.0	0.01831156	0.01771312	0.02601484	0.18176272
chr1_953600_985600	0.0150396875	0.0138975	0.00286	0.009196875	0.0	0.0	0.01789969	0.0167575	0.02509547	0.1830771
chr1_768000_800000	0.0145746875	0.0155746875	0.0030446875	0.0100246875	0.0	0.0	0.01761937	0.01861938	0.02662172	0.19003435
chr1_774400_806400	0.014550625	0.015398125	0.00324875	0.009790625	0.0	0.0	0.01779937	0.01864688	0.02638937	0.18304838
chr1_780800_812800	0.01476125	0.015879375	0.003273125	0.0098453125	0.0	0.0	0.01803437	0.0191525	0.02680219	0.18082701
chr1_787200_819200	0.01468875	0.0158115625	0.0032471875	0.0095334375	0.0	0.0	0.01793594	0.01905875	0.02640719	0.17614802
chr1_793600_825600	0.014743125	0.0159953125	0.003125625	0.0096153125	0.0	0.0	0.01786875	0.01912094	0.02654734	0.17877674
chr1_800000_832000	0.0144528125	0.015683125	0.0030715625	0.009394375	0.0	0.0	0.01752438	0.01875469	0.02599813	0.17804737
chr1_806400_838400	0.0147565625	0.015485	0.0028965625	0.0094478125	0.0	0.0	0.01765312	0.01838156	0.02601687	0.18166625
chr1_812800_844800	0.0146403125	0.015293125	0.00286375	0.0091921875	0.0	0.0	0.01750406	0.01815687	0.02559078	0.17872161
chr1_819200_851200	0.014521875	0.01533125	0.0028553125	0.0090834375	0.0	0.0	0.01737719	0.01818656	0.02543766	0.17713714
chr1_825600_857600	0.014690625	0.01559	0.0029340625	0.0091259375	0.0	0.0	0.01762469	0.01852406	0.02573328	0.17483029
chr1_832000_864000	0.01447	0.015615625	0.0029125	0.0093603125	0.0	0.0	0.0173825	0.01852812	0.02585937	0.18039753
chr1_838400_870400	0.0144290625	0.0155053125	0.0029165625	0.0091525	0.0	0.0	0.01734562	0.01842188	0.02557797	0.17703441
chr1_1075200_1107200	0.014735	0.015268125	0.00283625	0.01060125	0.0	0.0	0.01757125	0.01810437	0.02702094	0.20471212
chr1_1081600_1113600	0.0147909375	0.0155946875	0.0027965625	0.0103203125	0.0	0.0	0.0175875	0.01839125	0.02691141	0.19870555
chr1_1088000_1120000	0.014513125	0.0156059375	0.00284	0.0102825	0.0	0.0	0.01735313	0.01844594	0.02676203	0.19843673
chr1_1094400_1126400	0.0147946875	0.0148790625	0.0029003125	0.009965625	0.0	0.0	0.017695	0.01777938	0.02625266	0.19357806
chr1_1100800_1132800	0.014993125	0.0146921875	0.0029478125	0.00960375	0.0	0.0	0.01794094	0.01764	0.02592031	0.18599165
chr1_1107200_1139200	0.014994375	0.01459625	0.0028778125	0.0096840625	0.0	0.0	0.01787219	0.01747406	0.02591828	0.18914635
chr1_729600_761600	0.0146965625	0.0155228125	0.0028546875	0.0086915625	0.0	0.0	0.01755125	0.0183775	0.02522859	0.16818051
chr1_736000_768000	0.014540625	0.0154996875	0.0029065625	0.00879625	0.0	0.0	0.01744719	0.01840625	0.02526969	0.16999028
chr1_742400_774400	0.0143040625	0.0153990625	0.00275125	0.0094640625	0.0	0.0	0.01705531	0.01815031	0.02569125	0.18682563
chr1_748800_780800	0.0140896875	0.0151265625	0.002769375	0.009771875	0.0	0.0	0.01685906	0.01789594	0.02576469	0.19440807
chr1_755200_787200	0.014664375	0.01550875	0.00299125	0.010090625	0.0	0.0	0.01765563	0.0185	0.02667281	0.19206424
