window_id,start,end,span,centre,pi_chi,pi_ros,dxy,fst,sample_cov
chr18_690693_716217,690693,716217,25524,703455.0,0.01709239,0.00994491,0.01821791,0.14807087,0.9016666666666666
chr18_694156_722728,694156,722728,28572,708442.0,0.01779175,0.01093115,0.02046007,0.1751394,0.8986666666666667
chr18_698581_734966,698581,734966,36385,716773.5,0.01670311,0.01163968,0.02032471,0.1783771,0.8943333333333334
chr18_702871_781536,702871,781536,78665,742203.5,0.01513643,0.0087532,0.02089439,0.27252715,0.87
chr18_706093_787348,706093,787348,81255,746720.5,0.01392156,0.00854902,0.01944191,0.26751529,0.853
chr18_709375_800292,709375,800292,90917,754833.5,0.01253329,0.00836134,0.0202499,0.31933141,0.8385
chr18_716248_804245,716248,804245,87997,760246.5,0.01136974,0.00900361,0.02300089,0.38611495,0.8296666666666667
chr18_724432_807491,724432,807491,83059,765961.5,0.01086205,0.00899672,0.02336505,0.40354086,0.8188333333333333
chr18_734966_810716,734966,810716,75750,772841.0,0.00993864,0.00695359,0.02282888,0.45988065,0.84
chr18_781536_814400,781536,814400,32864,797968.0,0.00996721,0.00771628,0.02179798,0.42285742,0.8583333333333333
chr18_787348_817892,787348,817892,30544,802620.0,0.01014812,0.00721381,0.02224137,0.43853108,0.8468333333333333
chr18_800292_821099,800292,821099,20807,810695.5,0.01067661,0.00799092,0.02223058,0.40858808,0.8561666666666667
chr18_804245_824329,804245,824329,20084,814287.0,0.01175615,0.00900253,0.02163311,0.35154354,0.886
chr18_807491_827649,807491,827649,20158,817570.0,0.01221624,0.00967054,0.02097965,0.31438923,0.8978333333333334
chr18_810716_830861,810716,830861,20145,820788.5,0.01333722,0.01156394,0.02186587,0.27436667,0.8886666666666667
chr18_814400_834075,814400,834075,19675,824237.5,0.01334676,0.01363248,0.0224528,0.24937609,0.8868333333333334
chr18_817892_837335,817892,837335,19443,827613.5,0.0129361,0.01469357,0.02166898,0.22134444,0.9036666666666667
chr18_821099_861458,821099,861458,40359,841278.5,0.01359017,0.01522781,0.02253553,0.21996605,0.9
chr18_824329_864738,824329,864738,40409,844533.5,0.01461183,0.01486842,0.0238033,0.23514192,0.8993333333333333
chr18_827649_868972,827649,868972,41323,848310.5,0.01419807,0.01435055,0.0231834,0.23784396,0.8958333333333334
chr18_830861_879508,830861,879508,48647,855184.5,0.01405788,0.01330148,0.02225892,0.23871937,0.8833333333333333
chr18_834075_882883,834075,882883,48808,858479.0,0.01448101,0.01123298,0.02185335,0.25918368,0.8893333333333334
chr18_837335_886123,837335,886123,48788,861729.0,0.01497545,0.0107789,0.0218176,0.25768794,0.8883333333333333
chr18_861458_889681,861458,889681,28223,875569.5,0.01457155,0.00954095,0.02201671,0.29232741,0.902
chr18_864862_893091,864862,893091,28229,878976.5,0.01340361,0.00947884,0.02036299,0.28052147,0.8998333333333333
chr18_868972_896782,868972,896782,27810,882877.0,0.01308893,0.00912795,0.01986188,0.28263964,0.8983333333333333
chr18_879508_900061,879508,900061,20553,889784.5,0.01155396,0.00881265,0.01943397,0.31234018,0.9198333333333333
chr18_882883_903998,882883,903998,21115,893440.5,0.01059955,0.00957687,0.01978029,0.32449169,0.9189999999999999
chr18_886123_907254,886123,907254,21131,896688.5,0.01102454,0.01018623,0.02031571,0.31403561,0.9178333333333334
chr18_889681_916539,889681,916539,26858,903110.0,0.01149791,0.01149776,0.01981968,0.26572495,0.9138333333333333
chr18_893091_920600,893091,920600,27509,906845.5,0.01186441,0.01234216,0.01990741,0.24379742,0.9213333333333332
chr18_896782_923807,896782,923807,27025,910294.5,0.01213788,0.01388089,0.01997696,0.21122604,0.932
chr18_900061_928607,900061,928607,28546,914334.0,0.01417075,0.01420505,0.02109175,0.1956893,0.917
chr18_903998_932222,903998,932222,28224,918110.0,0.01501273,0.01474505,0.02159976,0.18424119,0.9226666666666667
chr18_907254_935529,907254,935529,28275,921391.5,0.01619615,0.01753976,0.02306967,0.15528502,0.9271666666666666
chr18_916545_940067,916545,940067,23522,928306.0,0.01608187,0.0178568,0.02244723,0.13897444,0.9176666666666667
chr18_920600_943858,920600,943858,23258,932229.0,0.0153403,0.01750102,0.02141845,0.13208001,0.9148333333333333
chr18_923807_947806,923807,947806,23999,935806.5,0.01533462,0.01762755,0.02158692,0.13412405,0.9016666666666666
chr18_928607_951076,928607,951076,22469,939841.5,0.01474536,0.01760936,0.02053339,0.11865816,0.9096666666666666
chr18_932222_954329,932222,954329,22107,943275.5,0.0155245,0.01681495,0.01960554,0.09603884,0.9091666666666667
chr18_935529_957773,935529,957773,22244,946651.0,0.01520898,0.01375893,0.01900874,0.13509767,0.9103333333333334
chr18_940067_961020,940067,961020,20953,950543.5,0.01576984,0.01261538,0.02079323,0.18866547,0.9131666666666667
chr18_943858_967238,943858,967238,23380,955548.0,0.01543897,0.01113304,0.02138844,0.23367166,0.9063333333333332
chr18_947806_975049,947806,975049,27243,961427.5,0.01400347,0.00831185,0.02050819,0.29528751,0.8915
chr18_951076_987735,951076,987735,36659,969405.5,0.01283318,0.00707192,0.02123155,0.36169073,0.879
chr18_954329_1001899,954329,1001899,47570,978114.0,0.01028746,0.00644627,0.01971017,0.40400651,0.8493333333333334
chr18_957773_1012115,957773,1012115,54342,984944.0,0.00775798,0.00610138,0.01736112,0.42943995,0.8303333333333334
chr18_961020_1031076,961020,1031076,70056,996048.0,0.00627323,0.00562702,0.01493216,0.43012702,0.8213333333333334
chr18_967238_1034277,967238,1034277,67039,1000757.5,0.00636632,0.00670106,0.01387356,0.35966973,0.8218333333333334
chr18_975049_1038979,975049,1038979,63930,1007014.0,0.00799242,0.00841939,0.01493097,0.29066436,0.8378333333333333
chr18_987735_1042303,987735,1042303,54568,1015019.0,0.00960208,0.00899285,0.01623452,0.27170057,0.8511666666666666
chr18_1001899_1046057,1001899,1046057,44158,1023978.0,0.01092968,0.01010144,0.01870499,0.28026269,0.8785000000000001
chr18_1012115_1049660,1012115,1049660,37545,1030887.5,0.01271076,0.01109526,0.02216852,0.3012929,0.8976666666666667
chr18_1031076_1053713,1031076,1053713,22637,1042394.5,0.01357698,0.01118977,0.02535452,0.34371671,0.91
chr18_1034277_1057277,1034277,1057277,23000,1045777.0,0.01363603,0.01043177,0.02776832,0.39531514,0.8821666666666665
chr18_1038979_1061414,1038979,1061414,22435,1050196.5,0.012454,0.0097009,0.02729781,0.42267753,0.8786666666666667
chr18_1042303_1064668,1042303,1064668,22365,1053485.5,0.0118733,0.01007763,0.02711285,0.42368335,0.8779999999999999
chr18_1046057_1068198,1046057,1068198,22141,1057127.5,0.01179676,0.00853675,0.02750059,0.46018202,0.8628333333333335
chr18_1049660_1071473,1049660,1071473,21813,1060566.5,0.01092901,0.007523,0.02597112,0.47575235,0.8604999999999999
chr18_1053741_1074700,1053741,1074700,20959,1064220.5,0.01043864,0.00831552,0.02351976,0.42990999,0.8558333333333333
chr18_1057277_1078416,1057277,1078416,21139,1067846.5,0.01162998,0.00814511,0.02222858,0.38426289,0.8895000000000001
chr18_1061414_1085526,1061414,1085526,24112,1073470.0,0.01191049,0.00787367,0.02463469,0.42699071,0.8848333333333332
chr18_1064682_1091023,1064682,1091023,26341,1077852.5,0.01192584,0.00704817,0.02328393,0.42101103,0.8833333333333333
chr18_1068198_1095557,1068198,1095557,27359,1081877.5,0.01175425,0.0070532,0.02261097,0.41253696,0.8925
chr18_1071473_1099020,1071473,1099020,27547,1085246.5,0.01180298,0.00815021,0.02196453,0.37531349,0.8905
chr18_1074700_1102475,1074700,1102475,27775,1088587.5,0.01220277,0.00847538,0.02321409,0.38371984,0.905
chr18_1078416_1105936,1078416,1105936,27520,1092176.0,0.01175484,0.00978622,0.02456569,0.39039716,0.9015
chr18_1085526_1109169,1085526,1109169,23643,1097347.5,0.01268323,0.00964145,0.0232169,0.35063486,0.9153333333333334
chr18_1091023_1112374,1091023,1112374,21351,1101698.5,0.01280777,0.01046018,0.0248654,0.362511,0.9218333333333334
chr18_1095604_1115702,1095604,1115702,20098,1105653.0,0.01364873,0.01132288,0.02539585,0.34079939,0.9151666666666667
chr18_1099088_1118963,1099088,1118963,19875,1109025.5,0.01430898,0.01037319,0.02581069,0.35305317,0.9273333333333333
chr18_1102475_1122311,1102475,1122311,19836,1112393.0,0.01412493,0.00957371,0.02492818,0.35562124,0.9271666666666666
chr18_1105936_1126045,1105936,1126045,20109,1115990.5,0.01381194,0.00922227,0.02492805,0.36797607,0.926
chr18_1109169_1129411,1109169,1129411,20242,1119290.0,0.01331445,0.00943153,0.02477914,0.37082601,0.915
chr18_1112374_1132879,1112374,1132879,20505,1122626.5,0.01248711,0.00835645,0.02345849,0.38478767,0.9143333333333333
chr18_1115702_1136644,1115702,1136644,20942,1126173.0,0.01138786,0.00745397,0.02525438,0.45662092,0.9168333333333334
chr18_1118963_1145768,1118963,1145768,26805,1132365.5,0.00979965,0.00727689,0.02712779,0.52121036,0.8966666666666666
chr18_1122311_1151851,1122311,1151851,29540,1137081.0,0.00940203,0.00662762,0.029997,0.57829833,0.8965
chr18_1126045_1156127,1126045,1156127,30082,1141086.0,0.00838529,0.00549582,0.02930601,0.61703654,0.8858333333333334
chr18_1129411_1159483,1129411,1159483,30072,1144447.0,0.00726463,0.0054167,0.02867244,0.6378119,0.8978333333333334
chr18_1132879_1162859,1132879,1162859,29980,1147869.0,0.00636531,0.00594382,0.0291829,0.65166913,0.901
chr18_1136644_1166210,1136644,1166210,29566,1151427.0,0.00570952,0.00624934,0.02702023,0.63760657,0.9096666666666666
chr18_1145768_1170505,1145768,1170505,24737,1158136.5,0.00566569,0.00605047,0.0246807,0.61635141,0.8983333333333333
chr18_1151862_1173973,1151862,1173973,22111,1162917.5,0.0055954,0.0064434,0.0221218,0.57220019,0.8936666666666667
chr18_1156127_1177435,1156127,1177435,21308,1166781.0,0.0065039,0.00665444,0.021877,0.53759273,0.907
chr18_1159483_1181392,1159483,1181392,21909,1170437.5,0.00673702,0.00635551,0.02128094,0.52950611,0.9038333333333333
chr18_1162859_1188834,1162859,1188834,25975,1175846.5,0.00799548,0.00571004,0.02005019,0.49055698,0.8983333333333333
chr18_1166210_1192938,1166210,1192938,26728,1179574.0,0.00812387,0.00501569,0.01946733,0.49535259,0.8645
chr18_1170505_1216739,1170505,1216739,46234,1193622.0,0.00877012,0.0042784,0.01890717,0.48691363,0.8785000000000001
chr18_1173973_1233711,1173973,1233711,59738,1203842.0,0.00831624,0.00425752,0.01775499,0.47700574,0.8536666666666668
chr18_1177956_1246565,1177956,1246565,68609,1212260.5,0.00867089,0.00486478,0.01662745,0.42143599,0.8425
chr18_1181392_1249876,1181392,1249876,68484,1215634.0,0.01030335,0.00566742,0.01693559,0.35914345,0.8495
chr18_1188834_1253145,1188834,1253145,64311,1220989.5,0.01154996,0.0075742,0.01927737,0.33687501,0.8538333333333332
chr18_1192938_1258292,1192938,1258292,65354,1225615.0,0.01275721,0.0077061,0.02195401,0.36421043,0.8786666666666667
chr18_1216739_1266897,1216739,1266897,50158,1241818.0,0.01383897,0.00861371,0.02554856,0.3894564,0.8855
chr18_1233711_1290915,1233711,1290915,57204,1262313.0,0.01483983,0.00888391,0.02594212,0.37245407,0.916
chr18_1246565_1295512,1246565,1295512,48947,1271038.5,0.01355916,0.00883537,0.02489935,0.37959473,0.9139999999999999
chr18_1249876_1304128,1249876,1304128,54252,1277002.0,0.01216033,0.00864225,0.02415085,0.39793657,0.8975
chr18_1253145_1307433,1253145,1307433,54288,1280289.0,0.01133234,0.00830194,0.02232231,0.38909098,0.8865
chr18_1258292_1310786,1258292,1310786,52494,1284539.0,0.01259943,0.01060291,0.02050729,0.27737612,0.889
chr18_1266897_1314094,1266897,1314094,47197,1290495.5,0.01287857,0.01117372,0.02038404,0.25787866,0.8898333333333333
chr18_1290915_1317332,1290915,1317332,26417,1304123.5,0.01454604,0.01177649,0.0228845,0.26974695,0.89
chr18_1295512_1320657,1295512,1320657,25145,1308084.5,0.01635775,0.01252447,0.02551365,0.27712693,0.9071666666666666
chr18_1304128_1324036,1304128,1324036,19908,1314082.0,0.01793995,0.01393159,0.02766497,0.26901378,0.9079999999999999
chr18_1307433_1327872,1307433,1327872,20439,1317652.5,0.01903295,0.01413435,0.02874962,0.26836736,0.9083333333333333
chr18_1310786_1331077,1310786,1331077,20291,1320931.5,0.017804,0.01182546,0.02761433,0.3016706,0.9218333333333334
chr18_1314094_1334362,1314094,1334362,20268,1324228.0,0.01775997,0.0108806,0.02541682,0.2792487,0.9275
chr18_1317332_1338096,1317332,1338096,20764,1327714.0,0.01639686,0.01011524,0.02278707,0.26443382,0.9315
chr18_1320693_1341340,1320693,1341340,20647,1331016.5,0.01633832,0.01021692,0.02307749,0.26955963,0.9228333333333334
chr18_1324036_1344595,1324036,1344595,20559,1334315.5,0.01675329,0.00943079,0.02453041,0.30403044,0.9388333333333333
chr18_1327872_1348289,1327872,1348289,20417,1338080.5,0.01610219,0.01012074,0.02404117,0.29418384,0.944
chr18_1331077_1351602,1331077,1351602,20525,1341339.5,0.01639238,0.01304402,0.02505903,0.25996858,0.939
chr18_1334362_1354802,1334362,1354802,20440,1344582.0,0.01728136,0.01488476,0.02486366,0.21443964,0.938
chr18_1338096_1358119,1338096,1358119,20023,1348107.5,0.01824342,0.01537748,0.02664547,0.22632175,0.9203333333333334
chr18_1341340_1367688,1341340,1367688,26348,1354514.0,0.0178528,0.01491242,0.0271617,0.24754302,0.9273333333333333
chr18_1344595_1370994,1344595,1370994,26399,1357794.5,0.01794283,0.01572639,0.02588041,0.21177094,0.9251666666666667
chr18_1348289_1374461,1348289,1374461,26172,1361375.0,0.01690948,0.01589861,0.02538404,0.21489367,0.9283333333333333
chr18_1351602_1377808,1351602,1377808,26206,1364705.0,0.01595272,0.01467315,0.02460788,0.23283455,0.9254999999999999
chr18_1354802_1381143,1354802,1381143,26341,1367972.5,0.01571235,0.01367991,0.0255021,0.26881706,0.9178333333333334
chr18_1358119_1384355,1358119,1384355,26236,1371237.0,0.01517134,0.01292926,0.02536887,0.28713365,0.9275
chr18_1367688_1387749,1367688,1387749,20061,1377718.5,0.01572473,0.01238116,0.02453093,0.27156383,0.931
chr18_1370994_1390992,1370994,1390992,19998,1380993.0,0.01486971,0.01067624,0.02329104,0.29164986,0.9261666666666667
chr18_1374525_1394245,1374525,1394245,19720,1384385.0,0.01552348,0.00917612,0.0239476,0.31952151,0.9241666666666667
chr18_1377808_1397622,1377808,1397622,19814,1387715.0,0.01636282,0.00899796,0.02369982,0.30289627,0.9195000000000001
chr18_1381143_1400903,1381143,1400903,19760,1391023.0,0.01601164,0.00851799,0.02349017,0.31395217,0.9268333333333334
chr18_1384355_1404218,1384355,1404218,19863,1394286.5,0.01585647,0.00887931,0.02376472,0.31541674,0.9285
chr18_1387749_1407984,1387749,1407984,20235,1397866.5,0.0158756,0.0107616,0.02469972,0.29935884,0.9179999999999999
chr18_1390992_1411418,1390992,1411418,20426,1401205.0,0.01616135,0.01249205,0.02590301,0.28775524,0.9229999999999999
chr18_1394245_1414816,1394245,1414816,20571,1404530.5,0.01648255,0.01369257,0.02596452,0.26495515,0.9213333333333332
chr18_1397622_1418048,1397622,1418048,20426,1407835.0,0.0167967,0.01355329,0.02765108,0.29131983,0.9316666666666666
chr18_1400903_1421388,1400903,1421388,20485,1411145.5,0.01522793,0.01476139,0.02679818,0.28242924,0.9218333333333334
chr18_1404218_1424812,1404218,1424812,20594,1414515.0,0.01530228,0.01595215,0.02625882,0.25382219,0.9156666666666666
chr18_1407984_1428042,1407984,1428042,20058,1418013.0,0.01548584,0.01381538,0.02464341,0.25430842,0.9239999999999999
chr18_1411418_1431889,1411418,1431889,20471,1421653.5,0.01568576,0.0116538,0.02437097,0.2813086,0.9188333333333333
chr18_1414816_1435203,1414816,1435203,20387,1425009.5,0.01543538,0.01040174,0.02366059,0.29366538,0.9221666666666666
chr18_1418048_1438412,1418048,1438412,20364,1428230.0,0.01512284,0.01072457,0.02292892,0.27906506,0.9208333333333333
chr18_1421388_1441654,1421388,1441654,20266,1431521.0,0.0167792,0.00974821,0.02289558,0.26637349,0.9335
chr18_1424812_1444869,1424812,1444869,20057,1434840.5,0.01708509,0.00821721,0.02241144,0.27836763,0.9388333333333333
chr18_1428042_1448523,1428042,1448523,20481,1438282.5,0.01735499,0.00848105,0.0230155,0.28100448,0.9315
chr18_1431889_1451846,1431889,1451846,19957,1441867.5,0.01782896,0.00890153,0.02241924,0.25301454,0.9256666666666666
chr18_1435203_1455046,1435203,1455046,19843,1445124.5,0.01815471,0.00851133,0.02252302,0.2563027,0.9316666666666666
chr18_1438412_1458378,1438412,1458378,19966,1448395.0,0.01867204,0.00844636,0.02273511,0.25281952,0.9313333333333332
chr18_1441654_1462027,1441654,1462027,20373,1451840.5,0.01861535,0.0090667,0.02311788,0.2510046,0.9203333333333334
chr18_1444869_1465231,1444869,1465231,20362,1455050.0,0.0194404,0.0099925,0.02396119,0.23902027,0.9195000000000001
chr18_1448526_1468486,1448526,1468486,19960,1458506.0,0.01932213,0.01046917,0.02424282,0.23882308,0.9241666666666667
chr18_1451846_1471959,1451846,1471959,20113,1461902.5,0.01878399,0.01119553,0.02466741,0.24403279,0.9245000000000001
chr18_1455046_1475221,1455046,1475221,20175,1465133.5,0.01924995,0.01236546,0.02530047,0.23092159,0.9131666666666667
chr18_1458378_1478468,1458378,1478468,20090,1468423.0,0.01786016,0.01189453,0.0233727,0.22210052,0.9115
chr18_1462027_1481682,1462027,1481682,19655,1471854.5,0.01718444,0.01155605,0.02248851,0.22025337,0.9131666666666667
chr18_1465231_1485284,1465231,1485284,20053,1475257.5,0.01606982,0.01196188,0.0221679,0.22529589,0.9036666666666667
chr18_1468486_1488533,1468486,1488533,20047,1478509.5,0.01638779,0.01337084,0.02223195,0.19812407,0.9035000000000001
chr18_1471959_1491752,1471959,1491752,19793,1481855.5,0.01708303,0.01308275,0.02326566,0.21337886,0.911
chr18_1475233_1494980,1475233,1494980,19747,1485106.5,0.01627777,0.01244859,0.02334226,0.23813752,0.9098333333333333
chr18_1478468_1498405,1478468,1498405,19937,1488436.5,0.01750255,0.01298709,0.02490277,0.24056114,0.907
chr18_1481721_1505823,1481721,1505823,24102,1493772.0,0.01797259,0.01330674,0.0254222,0.23823894,0.9168333333333334
chr18_1485284_1509525,1485284,1509525,24241,1497404.5,0.01793959,0.0132246,0.02483574,0.22894955,0.9236666666666667
chr18_1488533_1512808,1488533,1512808,24275,1500670.5,0.01625821,0.01116662,0.02346487,0.26232295,0.9241666666666667
chr18_1491752_1517661,1491752,1517661,25909,1504706.5,0.01611626,0.01046533,0.02231279,0.25340131,0.9289999999999999
