Species,Chromosome,Start,End,cMFraction,cM,length,rbp
Melpomene,18,3371623,3372117,0.009000000000000001,5.97,494,0.00012085020242914979
Melpomene,18,3372117,3516505,0.0,5.97,144388,4.134692633736875e-07
Melpomene,18,3516505,3600527,0.8959999999999999,6.8660000000000005,84022,8.171669324700675e-07
Melpomene,18,3600527,3601020,0.0,6.8660000000000005,493,0.00013926977687626777
Melpomene,18,3601020,3625341,0.299,7.164,24321,2.9456025656839767e-06
Melpomene,18,3625341,3732430,0.0,7.164,107089,6.689762720727619e-07
Melpomene,18,3732430,3772618,0.299,7.462999999999999,40188,1.857021996615905e-06
Melpomene,18,3772618,3801911,0.0,7.462999999999999,29293,2.5477076434643084e-06
Melpomene,18,3801911,3930304,0.597,8.06,128393,6.277600803782138e-07
Melpomene,18,3930304,3987241,0.0,8.06,56937,1.4155996979117271e-06
Melpomene,18,3987241,3991537,0.012,8.072000000000001,4296,1.8789571694599632e-05
Melpomene,18,3991537,3991697,0.299,8.371,160,0.0005231875
Melpomene,18,3991697,4196985,0.584,8.955,205288,4.362164373952691e-07
Melpomene,18,4196985,4239679,0.0,8.955,42694,2.097484424040849e-06
Melpomene,18,4239679,4252749,0.081,9.036,13070,6.91354246365723e-06
Melpomene,18,4252749,4278158,0.456,9.492,25409,3.735684206383565e-06
Melpomene,18,4278158,4287865,0.06,9.552,9707,9.840321417533738e-06
Melpomene,18,4287865,4434351,0.0,9.552,146486,6.520759663039471e-07
Melpomene,18,4434351,4563799,0.597,10.149,129448,7.840213831036401e-07
Melpomene,18,4563799,4788208,0.0,10.149,224409,4.5225458871970374e-07
Melpomene,18,4788208,4788663,0.001,10.15,455,0.0002230769230769231
Melpomene,18,4788663,4822421,0.354,10.504000000000001,33758,3.111558741631614e-06
Melpomene,18,4822421,4970177,0.242,10.745999999999999,147756,7.272801104523673e-07
Melpomene,18,4970177,5129275,0.0,10.745999999999999,159098,6.754327521401902e-07
Melpomene,18,5129275,5158573,0.08800000000000001,10.834000000000001,29298,3.6978633353812553e-06
Melpomene,18,5158573,5225369,0.498,11.332,66796,1.696508772980418e-06
Melpomene,18,5225369,5229146,0.011000000000000001,11.343,3777,3.0031771247021445e-05
Melpomene,18,5229146,5434036,0.0,11.343,204890,5.536141344135878e-07
Melpomene,18,5434036,5568912,0.299,11.642000000000001,134876,8.631632017556868e-07
Melpomene,18,5568912,5825365,0.0,11.642000000000001,256453,4.539623244805091e-07
Melpomene,18,5825365,5906597,0.299,11.94,81232,1.4698640929682883e-06
Melpomene,18,5906597,5981536,0.0,11.94,74939,1.5932958806495948e-06
Melpomene,18,5981536,6003741,0.299,12.239,22205,5.511821661787886e-06
Melpomene,18,6003741,6137514,0.0,12.239,133773,9.149080905713411e-07
Melpomene,18,6137514,6167454,0.299,12.537,29940,4.187374749498999e-06
Melpomene,18,6167454,6169495,0.0,12.537,2041,6.142577168054875e-05
Melpomene,18,6169495,6173017,0.299,12.835999999999999,3522,3.644520159000567e-05
Melpomene,18,6173017,6254399,0.0,12.835999999999999,81382,1.577252955198938e-06
Melpomene,18,6254399,6261331,0.299,13.134,6932,1.8946912867859207e-05
Melpomene,18,6261331,6262074,0.0,13.134,743,0.0001767698519515478
Melpomene,18,6262074,6280858,0.299,13.433,18784,7.151298977853493e-06
Melpomene,18,6280858,6308538,0.0,13.433,27680,4.852962427745665e-06
Melpomene,18,6308538,6325078,0.10300000000000001,13.536,16540,8.183796856106408e-06
Melpomene,18,6325078,6350929,0.46,13.995999999999999,25851,5.41410390313721e-06
Melpomene,18,6350929,6356287,0.034,14.03,5358,2.618514371033968e-05
Melpomene,18,6356287,6368859,0.0,14.03,12572,1.1159720012726694e-05
Melpomene,18,6368859,6413326,0.299,14.328,44467,3.22216475138867e-06
Melpomene,18,6413326,6483915,0.0,14.328,70589,2.029778010738217e-06
Melpomene,18,6483915,6490505,0.036000000000000004,14.365,6590,2.1798179059180576e-05
Melpomene,18,6490505,6538048,0.56,14.925,47543,3.1392634036556383e-06
Melpomene,18,6538048,6538132,0.001,14.925999999999998,84,0.0017769047619047617
Melpomene,18,6538132,6538303,0.0,14.925999999999998,171,0.0008728654970760233
Melpomene,18,6538303,6538447,0.0,14.925999999999998,144,0.0010365277777777777
Melpomene,18,6538447,6625449,0.86,15.786,87002,1.8144410473322452e-06
Melpomene,18,6625449,6637193,0.035,15.821,11744,1.3471559945504086e-05
Melpomene,18,6637193,6684957,0.0,15.821,47764,3.3123272757725482e-06
Melpomene,18,6684957,6705379,0.299,16.12,20422,7.893448242091862e-06
Melpomene,18,6705379,6705645,0.0,16.12,266,0.000606015037593985
Melpomene,18,6705645,6828776,0.299,16.418,123131,1.333376647635445e-06
Melpomene,18,6828776,6960838,0.0,16.418,132062,1.2432039496600081e-06
Melpomene,18,6960838,7009856,0.597,17.015,49018,3.4711738545024275e-06
Melpomene,18,7009856,7044850,0.0,17.015,34994,4.862262102074641e-06
Melpomene,18,7044850,7046433,0.009000000000000001,17.024,1583,0.0001075426405559065
Melpomene,18,7046433,7123509,1.038,18.062,77076,2.3434013181794594e-06
Melpomene,18,7123509,7149165,0.147,18.209,25656,7.097365138758965e-06
Melpomene,18,7149165,7232149,0.0,18.209,82984,2.194278415116167e-06
Melpomene,18,7232149,7249946,0.299,18.508,17797,1.0399505534640669e-05
Melpomene,18,7249946,7384251,0.0,18.508,134305,1.378057406649045e-06
Melpomene,18,7384251,7384310,0.0,18.508,59,0.003136949152542373
Melpomene,18,7384310,7447113,0.597,19.105,62803,3.0420521312676147e-06
Melpomene,18,7447113,7454400,0.0,19.105,7287,2.6217922327432412e-05
Melpomene,18,7454400,7526043,0.09699999999999999,19.201,71643,2.6800943567410634e-06
Melpomene,18,7526043,7609416,0.41100000000000003,19.612000000000002,83373,2.3523202955393236e-06
Melpomene,18,7609416,7675435,0.08900000000000001,19.702,66019,2.984292400672534e-06
Melpomene,18,7675435,7714485,0.0,19.702,39050,5.045326504481435e-06
Melpomene,18,7714485,7792560,0.299,20.0,78075,2.5616394492475187e-06
Melpomene,18,7792560,7796630,0.0,20.0,4070,4.914004914004914e-05
Melpomene,18,7796630,7848288,0.299,20.299,51658,3.9294978512524685e-06
Melpomene,18,7848288,7884891,0.0,20.299,36603,5.545720296150589e-06
Melpomene,18,7884891,7885020,0.001,20.299,129,0.0015735658914728683
Melpomene,18,7885020,7935470,0.58,20.879,50450,4.138553022794847e-06
Melpomene,18,7935470,7938395,0.016,20.896,2925,7.143931623931625e-05
Melpomene,18,7938395,8030018,0.0,20.896,91623,2.280650055117165e-06
Melpomene,18,8030018,8082741,0.299,21.194000000000003,52723,4.019877472829695e-06
Melpomene,18,8082741,8099852,0.0,21.194000000000003,17111,1.2386184325872246e-05
Melpomene,18,8099852,8099890,0.0,21.194000000000003,38,0.005577368421052632
Melpomene,18,8099890,8108633,0.142,21.337,8743,2.440466659041519e-05
Melpomene,18,8108633,8205609,2.175,23.511999999999997,96976,2.4245174063685856e-06
Melpomene,18,8205609,8205616,0.0,23.511999999999997,7,0.033588571428571426
Melpomene,18,8205616,8205876,0.001,23.513,260,0.000904346153846154
Melpomene,18,8205876,8238082,0.536,24.049,32206,7.467242128795877e-06
Melpomene,18,8238082,8247088,0.13,24.179000000000002,9006,2.6847657117477242e-05
Melpomene,18,8247088,8476713,0.0,24.179000000000002,229625,1.0529776810016332e-06
