chrom	start	end	hmel	hcyd	f1	mean
2	2675429	2797575	5.9552	3.7703	4.7689	4.8315
2	2797821	2927606	4.9406	3.4321	4.4932	4.2887
2	2927606	3067774	4.2285	3.8138	2.8004	3.6142
2	3067774	3159727	3.902	4.7314	2.2379	3.6238
2	3159727	3234251	3.8416	5.3899	2.8267	4.0194
2	3236279	3330950	3.6088	5.6164	3.6781	4.3011
2	3330951	3445115	3.2024	5.7107	4.2065	4.3732
2	3445115	3539622	3.0596	5.6162	4.5077	4.3945
2	3539622	3653420	2.9825	5.3216	4.5555	4.2865
2	3653421	3769548	2.5717	4.7738	4.3274	3.891
2	3769548	3920433	2.3459	3.9003	3.6855	3.3106
2	3920433	3989119	2.3713	3.2589	3.1641	2.9314
2	3989119	4126977	2.3451	2.8479	2.5983	2.5971
2	4126977	4372303	1.9805	2.5363	1.9318	2.1495
2	4372303	4527781	2.2927	2.7727	2.069	2.3781
2	4527949	4624171	1.9607	2.9711	2.6398	2.5239
2	4624171	4782206	2.2978	2.9826	3.6747	2.9851
2	4782206	4923391	3.4548	3.8298	4.8616	4.0487
2	4923391	5000729	4.0509	4.7634	4.9033	4.5725
2	5000729	5104898	4.1978	5.3423	5.3742	4.9714
2	5105130	5298916	5.1104	5.8395	3.7412	4.8971
2	5298917	5377376	5.605	5.8772	2.9978	4.8267
2	5377440	5509995	5.3458	5.5599	3.0056	4.6371
2	5509995	5656008	4.7183	5.2577	3.4647	4.4802
2	5656008	5720285	4.5712	5.407	3.5488	4.509
2	5720285	5781517	4.6725	5.0352	3.483	4.3969
2	5781517	5848066	4.912	5.0991	3.4515	4.4876
2	5848066	6011728	4.7896	4.6853	3.3712	4.282
2	6011728	6078629	4.9675	3.6439	3.1565	3.9226
2	6078629	6184282	5.8345	3.1534	2.3524	3.7801
2	6184410	6241859	6.6163	2.9872	1.9299	3.8445
2	6241923	6414902	7.261	2.8586	2.2383	4.1193
2	6414902	6525130	7.4507	1.7377	3.743	4.3105
2	6525130	6646154	8.5102	1.8516	5.7214	5.3611
2	6646211	6733385	9.4109	2.9649	7.1341	6.5033
2	6733385	6793891	9.958	4.3588	7.8049	7.3739
2	6793891	6853049	10.7996	5.8632	8.1423	8.2684
2	6853049	6967763	11.2723	7.8234	8.2931	9.1296
2	6967763	7093335	10.6553	9.3363	7.9847	9.3254
2	7093527	7192132	10.7619	10.3808	8.0949	9.7459
2	7192132	7320991	10.601	10.517	7.5041	9.5407
2	7320991	7445709	8.9786	10.3353	7.026	8.7799
2	7445709	7516044	7.489	9.8513	6.5324	7.9576
2	7516044	7630727	6.9893	8.8706	5.4101	7.09
2	7630727	7748418	7.3885	7.4778	4.3976	6.4213
2	7748418	7835440	7.3023	8.7324	4.4511	6.8286
2	7835440	7883487	7.1924	9.3861	4.9801	7.1862
2	7883487	7951145	7.191	9.9158	5.7632	7.6233
2	7951145	8047454	7.3265	9.5992	6.5692	7.8317
2	8047454	8172177	7.7615	8.0306	6.8147	7.5356
2	8172177	8297587	8.7087	6.7456	7.4382	7.6308
2	8297587	8418121	8.1666	5.7699	7.3619	7.0995
2	8418121	8473320	7.9867	5.514	6.8278	6.7761
2	8473320	8527207	7.8434	5.1983	6.4906	6.5108
2	8527207	8605458	7.6596	4.776	6.4273	6.2877
2	8605458	8668027	7.4859	4.4732	6.2065	6.0552
2	8668027	8762597	7.3077	4.3308	5.9536	5.864
2	8762597	8921009	7.0542	4.0573	5.5532	5.5549
2	8921149	8981598	6.8634	3.7354	5.164	5.2543
3	60229	106288	2.2654	1.0988	5.4069	2.9237
3	106288	147047	2.4936	1.4686	5.5603	3.1742
3	147047	186784	2.7078	1.8123	5.7309	3.417
3	186784	239184	2.9561	2.2068	5.9605	3.7078
3	239184	306663	3.284	2.7217	6.3164	4.1073
3	306663	365392	3.6349	3.2656	6.7102	4.5369
3	365392	427380	3.9763	3.7879	7.0261	4.9301
3	427380	486299	4.3238	4.3128	7.2794	5.3053
3	486299	532172	4.6633	4.7659	7.4483	5.6258
3	532172	593422	5.0556	5.2003	7.5693	5.9417
3	593422	685395	5.5356	5.9144	7.6539	6.368
3	685395	763215	5.9613	6.7923	7.6337	6.7958
3	763215	827772	6.2281	7.4574	7.5218	7.0691
3	827772	934355	6.4335	8.129	7.9931	7.5185
3	934356	993964	6.9118	8.6659	8.5118	8.0299
3	994092	1046680	7.5285	8.9553	8.6405	8.3748
3	1046680	1105960	7.7004	9.4335	8.5951	8.5763
3	1105960	1158607	7.4454	10.3993	8.3834	8.7427
3	1158607	1264188	7.6336	10.8044	7.7733	8.7371
3	1264188	1320779	8.0636	9.392	6.8428	8.0995
3	1320907	1411824	6.9916	6.7901	5.4754	6.419
3	1411824	1468490	6.154	5.1785	3.6633	4.9986
3	1468490	1585959	5.5357	4.0793	2.5291	4.048
3	1585959	1667074	4.9881	3.7068	2.2492	3.6481
3	1667138	1805880	4.612	3.7185	2.8162	3.7156
3	1805881	1916384	4.4417	3.7461	3.0234	3.7371
3	1916384	1987418	4.3357	4.7191	3.4089	4.1546
3	1987418	2074712	3.4443	5.0613	3.9642	4.1566
3	2074712	2120691	3.1179	5.3946	4.5718	4.3614
3	2120691	2173056	3.2784	5.8356	5.038	4.7173
3	2173056	2286634	4.2962	6.3165	5.5032	5.372
3	2287451	2391540	5.8879	6.5484	5.9998	6.1454
3	2391540	2538718	6.9616	7.5197	6.7235	7.0683
3	2538975	2602216	7.3291	7.7414	6.9397	7.3367
3	2602216	2675639	7.3817	6.8089	7.0816	7.0907
3	2675639	2737259	7.5322	6.1523	7.0891	6.9245
3	2737259	2795930	7.2835	5.8141	6.9801	6.6926
3	2796006	2851775	7.3708	5.5824	6.7761	6.5764
3	2851776	2934049	6.8989	5.2279	6.3956	6.1741
3	2934049	3054170	5.5141	4.4721	5.5785	5.1882
3	3054170	3132637	4.5121	4.5383	4.5418	4.5308
3	3132637	3214576	2.7532	4.0381	4.1179	3.6364
3	3218563	3283293	1.4917	3.7082	3.2664	2.8221
3	3283293	3342658	1.2472	4.0396	4.2511	3.1793
3	3342658	3444949	1.9978	5.3016	5.5689	4.2894
3	3445165	3507292	3.7271	6.4104	6.7076	5.615
3	3507292	3585389	4.8695	7.7681	7.487	6.7082
3	3585389	3646499	5.7624	10.3192	8.1051	8.0622
3	3646499	3738960	6.5787	11.618	8.5893	8.9287
3	3738960	3850213	7.4061	11.1105	8.932	9.1495
3	3850213	3945487	7.9522	8.64	8.9365	8.5095
3	3945821	4023430	8.2517	7.6401	8.6658	8.1859
3	4023618	4085030	8.9371	7.0096	8.2664	8.071
3	4085030	4132992	8.3861	6.2596	7.8392	7.495
3	4132992	4192955	8.7469	5.1828	7.3162	7.082
3	4192955	4244406	8.8934	4.544	6.6895	6.7089
3	4244406	4303136	8.7997	4.4307	6.3457	6.5254
3	4303200	4415086	8.1697	5.0116	6.053	6.4114
3	4415215	4476392	7.0984	4.992	5.796	5.9621
3	4476456	4527006	6.6206	4.861	5.6552	5.7123
3	4527134	4595198	6.5143	4.7819	5.5269	5.6077
3	4595390	4725510	7.0237	4.7893	5.3619	5.725
3	4725510	4781942	7.2547	4.9301	5.2545	5.8131
3	4781942	4918437	7.1534	5.159	5.2056	5.8393
3	4918437	4982679	6.8428	5.2942	5.2062	5.7811
3	4982679	5062819	6.4582	5.3315	5.2613	5.6836
3	5062819	5117939	6.0336	5.3288	5.3832	5.5819
3	5117939	5199594	5.6751	5.2847	5.4355	5.4651
3	5199594	5266008	5.3691	5.195	5.3917	5.3186
3	5266008	5377249	5.1278	5.0231	5.1856	5.1122
3	5377249	5504327	4.6142	4.6912	4.6674	4.6576
3	5504327	5626614	3.8834	4.2185	4.0501	4.0507
3	5626614	5698213	3.6874	3.8852	3.3026	3.6251
3	5698213	5762107	3.7645	3.8071	2.7894	3.4537
3	5762171	5844654	3.9905	3.5947	2.9541	3.5131
3	5844718	5896260	3.8622	3.2882	2.9899	3.3801
3	5896260	5943036	3.7263	2.9848	2.931	3.214
3	5943100	6001674	3.6758	2.6777	2.9148	3.0894
3	6001674	6175881	3.8882	2.2148	3.0644	3.0558
3	6175881	6236661	4.0654	1.9751	3.4116	3.1507
3	6236661	6284773	4.0954	1.9657	3.6892	3.2501
3	6284774	6347632	4.1281	2.019	4.105	3.4174
3	6347760	6401677	4.1646	2.0475	4.4274	3.5465
3	6401677	6457298	4.2008	1.6647	4.594	3.4865
3	6457298	6501735	4.2354	1.3204	4.6362	3.3974
3	6501799	6554579	4.2708	1.0479	4.5708	3.2965
3	6554579	6596637	4.307	0.8377	4.4127	3.1858
3	6596637	6683554	4.3956	0.6502	4.0374	3.0277
3	6683554	6736341	4.4812	0.5535	3.873	2.9692
3	6736341	6776897	4.5191	0.5594	3.9244	3.0009
3	6776897	6820056	4.5399	0.6126	3.9	3.0175
3	6820056	6892793	4.5479	0.7622	3.7544	3.0215
3	6892793	6943390	4.5327	1.0075	3.4729	3.0044
3	6943544	6990274	4.5017	1.2713	3.1511	2.9747
3	6990274	7037513	4.4561	1.5823	2.8314	2.9566
3	7037577	7101888	4.3817	2.026	2.5258	2.9778
3	7101888	7197846	4.274	2.8022	2.2314	3.1025
3	7197846	7267878	4.306	3.7684	2.0924	3.389
3	7267878	7335836	4.2017	4.6668	2.117	3.6618
3	7335836	7390653	4.0396	5.373	2.2415	3.8847
3	7390653	7482979	3.8927	6.053	2.5033	4.1496
3	7483087	7571916	3.7781	6.6661	2.5207	4.3216
3	7571916	7667574	3.7409	7.021	2.492	4.418
3	7667574	7742347	3.7728	7.1167	2.5854	4.4916
3	7742347	7817184	3.3728	7.0077	2.7669	4.3825
3	7817248	7894756	2.8918	6.7146	3.0459	4.2174
3	7894756	7965260	2.8118	6.2566	3.4063	4.1582
3	7965260	8087007	3.316	5.6788	3.8652	4.2867
3	8087072	8177759	4.3729	5.3624	4.1452	4.6268
3	8177823	8282586	4.1631	5.2354	4.519	4.6392
3	8282586	8354771	4.6962	5.0365	5.1756	4.9694
3	8354771	8420099	5.9535	5.0818	6.1983	5.7445
3	8420099	8490152	7.8698	4.9184	7.6398	6.8093
3	8490152	8563756	9.5293	4.8211	7.8263	7.3923
3	8563835	8646173	10.1288	4.8369	6.7872	7.251
3	8646173	8712492	10.3078	4.9342	6.2966	7.1795
3	8712492	8766686	11.1721	4.9677	5.9578	7.3659
3	8766686	8836409	10.6771	4.9631	5.5862	7.0755
3	8836409	8917502	11.3256	4.91	5.1841	7.1399
3	8917502	9028220	10	4.7653	4.678	6.4811
3	9028247	9162473	5.739	4.509	3.8262	4.6914
3	9162473	9266976	2.7997	4.4899	3.2087	3.4994
3	9266976	9401661	2.1081	4.4735	2.6471	3.0762
3	9401661	9498366	3.3251	4.39	2.4964	3.4038
3	9498430	9596092	4.1352	4.2764	2.2477	3.5531
3	9596092	9693737	4.1822	4.1234	2.3585	3.5547
3	9693737	9785529	4.0597	3.8632	2.7728	3.5652
3	9785529	9848169	3.8616	3.5674	3.0548	3.4946
3	9848169	9914772	3.7711	3.2598	3.102	3.3776
3	9914772	10003655	3.5562	2.951	2.9322	3.1465
3	10003655	10045628	3.2869	2.7334	2.6167	2.879
3	10045628	10167120	3.0207	2.468	2.3857	2.6248
3	10167120	10279968	2.6657	2.0981	2.061	2.2749
3	10279968	10345085	2.4154	1.8257	1.8448	2.0286
3	10345085	10443894	2.2012	1.5821	1.6484	1.8106
4	132	75950	3.1412	3.0179	3.6207	3.26
4	75950	131636	3.2533	3.036	3.5693	3.2862
4	131636	185152	3.3461	3.0363	3.5086	3.297
4	185152	234957	3.4337	3.0246	3.4573	3.3052
4	234957	288982	3.5214	3.0009	3.4334	3.3185
4	288982	335929	3.6065	2.9682	3.4005	3.3251
4	336066	392863	3.6939	2.9445	3.3764	3.3383
4	392863	442996	3.7836	2.9349	3.3617	3.36
4	442996	488378	3.8634	2.9382	3.2793	3.3603
4	488378	579620	3.9773	2.964	2.8855	3.2756
4	579620	665601	4.1244	3.03	2.6469	3.2671
4	665601	724919	4.2446	3.0738	2.7116	3.3433
4	724919	796699	4.3831	2.9768	2.9857	3.4486
4	796699	850878	4.5572	2.9237	3.426	3.6356
4	850878	904961	4.6267	2.925	3.952	3.8346
4	904962	957465	4.6272	2.9675	4.5809	4.0586
4	957465	1042965	4.9639	3.0862	5.2267	4.4256
4	1042965	1205408	5.3194	3.331	5.5856	4.7453
4	1205408	1250290	5.1833	3.2074	5.2326	4.5411
4	1250290	1297911	4.9558	3.3653	4.8808	4.4006
4	1297911	1387970	4.751	3.9463	4.9315	4.5429
